,103R,103S,137R,137S,155R,155S,173R,173S,189R,189S,197R,197S,200R,200S,202R,202S,211R,211S,212R,212S,216R,216S,219R,219S,220R,220S,222R,222S,226R,226S,231R,231S,236R,236S,240R,240S,246R,246S,254R,254S,257R,257S,260R,260S,265R,265S,275R,275S,279R,279S,283R,283S,298R,298S,40R,40S,70R,70S,72R,72S,76R,76S,80R,80S,87R,87S
202S,0.182894,0.182851,0.170542,0.170542,0.0978533,0.0978337,0.0994563,0.0995003,0.182333,0.182505,0.172064,0.172047,0.181885,0.181864,7.338e-05,0.0,0.182077,0.182056,0.33191,0.33191,0.331406,0.331406,0.16682,0.166805,0.183396,0.183396,0.183925,0.183925,0.183903,0.183903,0.171534,0.171585,0.33191,0.33191,0.181928,0.18197,0.329926,0.329926,0.18366,0.183726,0.18197,0.18197,0.169408,0.169408,0.328491,0.328491,0.181526,0.181547,0.330907,0.330907,0.183948,0.18397,0.183748,0.183748,0.172374,0.172392,0.182441,0.182462,0.183572,0.183594,0.182462,0.182441,0.0993651,0.0993482,0.183199,0.183221
211R,0.0151946,0.0151962,0.175192,0.175248,0.179708,0.179687,0.179748,0.179789,0.0318335,0.0316618,0.175543,0.175506,0.0292979,0.0292904,0.182098,0.182077,0.0,6.621e-05,0.363903,0.363903,0.360092,0.360092,0.148886,0.148824,0.0147202,0.0147156,0.00647221,0.00646719,0.00616516,0.00615307,0.174844,0.175119,0.363903,0.363903,0.0303753,0.0303572,0.359186,0.359186,0.0146044,0.0146196,0.00209513,0.00209865,0.188003,0.188027,0.355722,0.355722,0.0326798,0.0326787,0.361017,0.361017,0.00616176,0.00616022,0.00564546,0.0056554,0.187617,0.187641,0.0319406,0.0319458,0.00594764,0.00594814,0.0318911,0.0318881,0.183046,0.18309,0.014456,0.0144529
211S,0.0151631,0.0151673,0.175174,0.175192,0.179647,0.179627,0.179687,0.179728,0.0318068,0.0316297,0.175506,0.175451,0.029266,0.0292613,0.182077,0.182056,6.621e-05,0.0,0.363903,0.363903,0.360092,0.360092,0.148917,0.148865,0.0146914,0.0146821,0.0064433,0.00643725,0.00613843,0.00612924,0.17479,0.175064,0.363903,0.363903,0.0303529,0.0303324,0.359186,0.359186,0.0145721,0.0145912,0.002067,0.00207105,0.187954,0.187979,0.355722,0.355722,0.0326538,0.0326512,0.361017,0.361017,0.00613247,0.00613349,0.00561616,0.00562228,0.187521,0.187545,0.0319076,0.0319169,0.00592088,0.00592037,0.0318597,0.0318567,0.183025,0.183025,0.0144265,0.0144277
212R,0.35328,0.35328,0.315392,0.315392,0.336143,0.336143,0.336143,0.336143,0.359186,0.359186,0.317216,0.317216,0.361017,0.361017,0.33191,0.33191,0.363903,0.363903,0.0,5.952e-05,0.0103507,0.0103448,0.351719,0.351719,0.358296,0.358296,0.362921,0.362921,0.362921,0.362921,0.309987,0.309669,0.00216429,0.00217191,0.371408,0.371408,0.0137044,0.0137081,0.364905,0.364905,0.363903,0.363903,0.314682,0.314682,0.0129336,0.0129085,0.362921,0.362921,0.0111655,0.0111563,0.362921,0.362921,0.362921,0.362921,0.325744,0.325744,0.35408,0.35408,0.362921,0.362921,0.35408,0.35408,0.34947,0.34947,0.359186,0.359186
212S,0.35328,0.35328,0.315392,0.315392,0.336143,0.336143,0.336143,0.336143,0.359186,0.359186,0.317216,0.317216,0.361017,0.361017,0.33191,0.33191,0.363903,0.363903,5.952e-05,0.0,0.010356,0.0103476,0.351719,0.351719,0.358296,0.358296,0.362921,0.362921,0.362921,0.362921,0.309987,0.309669,0.00216266,0.0021715,0.371408,0.371408,0.0137056,0.0137101,0.364905,0.364905,0.363903,0.363903,0.314682,0.314682,0.012932,0.012909,0.362921,0.362921,0.011169,0.0111593,0.362921,0.362921,0.362921,0.362921,0.325744,0.325744,0.35408,0.35408,0.362921,0.362921,0.35408,0.35408,0.34947,0.34947,0.359186,0.359186
216R,0.359186,0.359186,0.317216,0.317216,0.335593,0.335593,0.337263,0.337263,0.355722,0.356564,0.317589,0.317589,0.358296,0.358296,0.331406,0.331406,0.360092,0.360092,0.0103507,0.010356,0.0,8.978e-05,0.351719,0.351719,0.362921,0.362921,0.359186,0.359186,0.359186,0.359186,0.316846,0.315392,0.0103869,0.010399,0.368046,0.368046,0.0135989,0.0135977,0.362921,0.362921,0.359186,0.359186,0.314682,0.314682,0.0129092,0.0128901,0.360092,0.360092,0.0108483,0.0108401,0.359186,0.359186,0.360092,0.360092,0.325302,0.325302,0.355722,0.355722,0.360092,0.360092,0.355722,0.355722,0.348027,0.348027,0.363903,0.363903
216S,0.359186,0.359186,0.317216,0.317216,0.335593,0.335593,0.337263,0.337263,0.355722,0.356564,0.317589,0.317589,0.358296,0.358296,0.331406,0.331406,0.360092,0.360092,0.0103448,0.0103476,8.978e-05,0.0,0.351719,0.351719,0.362921,0.362921,0.359186,0.359186,0.359186,0.359186,0.316846,0.315392,0.0103821,0.0103863,0.368046,0.368046,0.0135903,0.0135928,0.362921,0.362921,0.359186,0.359186,0.314682,0.314682,0.0128975,0.012872,0.360092,0.360092,0.0108336,0.0108282,0.359186,0.359186,0.360092,0.360092,0.325302,0.325302,0.355722,0.355722,0.360092,0.360092,0.355722,0.355722,0.348027,0.348027,0.363903,0.363903
219R,0.139256,0.139256,0.168876,0.168844,0.167766,0.167751,0.163419,0.163405,0.151504,0.151372,0.169734,0.169751,0.149377,0.149408,0.166836,0.16682,0.148886,0.148917,0.351719,0.351719,0.351719,0.351719,0.0,0.00069614,0.140672,0.140603,0.151383,0.151372,0.15,0.150043,0.168924,0.169085,0.350957,0.350957,0.151769,0.151791,0.352493,0.352493,0.139975,0.139984,0.149126,0.149115,0.17571,0.17571,0.350208,0.350208,0.151252,0.15123,0.35328,0.35328,0.150064,0.150054,0.150353,0.150353,0.171162,0.171212,0.152617,0.15264,0.150589,0.150589,0.152651,0.152617,0.169718,0.169734,0.140121,0.140189
219S,0.139197,0.13918,0.168764,0.168748,0.167704,0.167704,0.163376,0.16339,0.151449,0.151339,0.169653,0.169653,0.149314,0.149356,0.16682,0.166805,0.148824,0.148865,0.351719,0.351719,0.351719,0.351719,0.00069614,0.0,0.140585,0.140516,0.151307,0.151285,0.149947,0.149979,0.168812,0.168972,0.350957,0.350957,0.15168,0.151702,0.352493,0.352493,0.13989,0.139882,0.149073,0.149063,0.175654,0.175673,0.350208,0.350208,0.15111,0.151088,0.35328,0.35328,0.15,0.14999,0.150299,0.150289,0.171128,0.171179,0.152516,0.152538,0.150525,0.150514,0.152561,0.152527,0.169571,0.169604,0.140009,0.140061
220R,0.013611,0.0136098,0.175506,0.175543,0.176649,0.17663,0.180711,0.180794,0.0329506,0.032925,0.174936,0.174881,0.0296497,0.0296454,0.18344,0.183396,0.0147202,0.0146914,0.358296,0.358296,0.362921,0.362921,0.140672,0.140585,0.0,5.199e-05,0.0154177,0.0154193,0.0151509,0.0151405,0.175896,0.176159,0.358296,0.358296,0.0310949,0.0310794,0.36196,0.36196,0.00406595,0.00409375,0.0147018,0.0147041,0.188858,0.188858,0.358296,0.358296,0.0336959,0.0336948,0.363903,0.363903,0.0151482,0.0151495,0.0152098,0.0152185,0.188173,0.188173,0.0314096,0.0314136,0.0153064,0.0153043,0.031357,0.0313575,0.184394,0.184438,0.0022571,0.00226256
220S,0.0136066,0.0136078,0.175469,0.175506,0.17663,0.176611,0.180691,0.180753,0.0329549,0.0329218,0.174899,0.174881,0.0296449,0.0296416,0.18344,0.183396,0.0147156,0.0146821,0.358296,0.358296,0.362921,0.362921,0.140603,0.140516,5.199e-05,0.0,0.0154142,0.0154113,0.0151461,0.0151403,0.175915,0.17614,0.358296,0.358296,0.0310919,0.0310754,0.36196,0.36196,0.00406095,0.00408752,0.0146979,0.0146992,0.188809,0.188784,0.358296,0.358296,0.0336981,0.0336976,0.363903,0.363903,0.0151419,0.0151416,0.0152045,0.0152079,0.188124,0.188148,0.031403,0.0314106,0.0153019,0.0152984,0.0313585,0.0313514,0.184349,0.184394,0.00225204,0.00225327
222R,0.0164663,0.0164699,0.176121,0.176177,0.178291,0.178271,0.181885,0.181907,0.0330229,0.0327822,0.175562,0.175487,0.0301576,0.0301566,0.183948,0.183925,0.00647221,0.0064433,0.362921,0.362921,0.359186,0.359186,0.151383,0.151307,0.0154177,0.0154142,0.0,6.824e-05,0.00284592,0.00284026,0.177318,0.177588,0.362921,0.362921,0.0315375,0.0315197,0.36196,0.36196,0.0161225,0.0161463,0.00722819,0.00723504,0.189204,0.189254,0.359186,0.359186,0.0340587,0.0340571,0.363903,0.363903,0.00284521,0.00284224,0.00208687,0.00208985,0.188907,0.188932,0.0327063,0.0327042,0.00281596,0.00281243,0.0326517,0.0326464,0.184844,0.184889,0.0162348,0.0162362
222S,0.0164607,0.0164632,0.176102,0.176159,0.178291,0.178271,0.181885,0.181907,0.0330293,0.0327864,0.175543,0.175487,0.0301571,0.0301547,0.183948,0.183925,0.00646719,0.00643725,0.362921,0.362921,0.359186,0.359186,0.151372,0.151285,0.0154193,0.0154113,6.824e-05,0.0,0.00284323,0.00283489,0.177318,0.17755,0.362921,0.362921,0.0315308,0.0315181,0.36196,0.36196,0.0161208,0.0161493,0.00722116,0.00722765,0.189204,0.189254,0.359186,0.359186,0.0340593,0.0340643,0.363903,0.363903,0.002838,0.00283715,0.00207254,0.00208092,0.188883,0.188907,0.0327042,0.0327068,0.00279958,0.00280396,0.0326464,0.0326464,0.184844,0.184889,0.0162318,0.0162337
226R,0.0161585,0.0161576,0.176159,0.176159,0.178468,0.178448,0.181232,0.181274,0.0329742,0.0326846,0.173566,0.173566,0.0288548,0.0288438,0.183925,0.183903,0.00616516,0.00613843,0.362921,0.362921,0.359186,0.359186,0.15,0.149947,0.0151509,0.0151461,0.00284592,0.00284323,0.0,5.832e-05,0.173815,0.17403,0.36196,0.36196,0.0311837,0.0311681,0.36196,0.36196,0.0158493,0.0158712,0.00719287,0.00719287,0.18913,0.189155,0.358296,0.358296,0.0338975,0.0338986,0.363903,0.363903,6.788e-05,7.004e-05,0.00229759,0.00230143,0.188833,0.188833,0.0321467,0.0321478,0.00312748,0.00312532,0.0320927,0.0320922,0.184957,0.185003,0.0157473,0.0157509
226S,0.0161441,0.0161471,0.176121,0.176196,0.178468,0.178448,0.181232,0.181274,0.0329672,0.0326808,0.173602,0.173549,0.0288447,0.0288382,0.183925,0.183903,0.00615307,0.00612924,0.362921,0.362921,0.359186,0.359186,0.150043,0.149979,0.0151405,0.0151403,0.00284026,0.00283489,5.832e-05,0.0,0.173744,0.174012,0.36196,0.36196,0.0311907,0.0311671,0.36196,0.36196,0.0158425,0.0158671,0.00718478,0.00718765,0.189155,0.189204,0.358296,0.359186,0.0338947,0.0338991,0.363903,0.363903,6.25e-05,6.155e-05,0.00229513,0.00229664,0.188833,0.188858,0.0321436,0.0321441,0.0031246,0.00312474,0.0320865,0.032087,0.18498,0.185025,0.015737,0.0157405
231R,0.176196,0.176215,0.00970906,0.00970538,0.170343,0.170343,0.168732,0.168764,0.173177,0.172047,0.0103628,0.0103628,0.175119,0.175192,0.171551,0.171534,0.174844,0.17479,0.309987,0.309987,0.316846,0.316846,0.168924,0.168812,0.175896,0.175915,0.177318,0.177318,0.173815,0.173744,0.0,0.00010619,0.310307,0.310307,0.174991,0.174954,0.318727,0.318727,0.176384,0.176403,0.174481,0.174445,0.0538862,0.0538852,0.319112,0.319501,0.185413,0.185367,0.318345,0.318345,0.173798,0.17378,0.173637,0.173637,0.117977,0.117987,0.174936,0.174991,0.176744,0.176725,0.174881,0.174917,0.178666,0.178646,0.175617,0.175785
231S,0.176309,0.176347,0.00972812,0.00972443,0.170526,0.170526,0.168908,0.16894,0.173389,0.172219,0.010377,0.0103793,0.175377,0.175469,0.171602,0.171585,0.175119,0.175064,0.309669,0.309669,0.315392,0.315392,0.169085,0.168972,0.176159,0.17614,0.177588,0.17755,0.17403,0.174012,0.00010619,0.0,0.309987,0.309987,0.175082,0.175064,0.318727,0.318727,0.176611,0.176706,0.174699,0.17468,0.0539049,0.0539049,0.319501,0.319501,0.185436,0.18539,0.318345,0.318345,0.174012,0.174012,0.173923,0.173905,0.117987,0.118008,0.175045,0.175119,0.176916,0.176897,0.175009,0.175027,0.178646,0.178646,0.175878,0.176027
236R,0.35328,0.35328,0.316113,0.316113,0.337263,0.337263,0.337833,0.337833,0.359186,0.359186,0.317216,0.317216,0.361017,0.361017,0.33191,0.33191,0.363903,0.363903,0.00216429,0.00216266,0.0103869,0.0103821,0.350957,0.350957,0.358296,0.358296,0.362921,0.362921,0.36196,0.36196,0.310307,0.309987,0.0,5.354e-05,0.37026,0.37026,0.0135213,0.0135225,0.364905,0.364905,0.363903,0.363903,0.315036,0.315036,0.0127511,0.0127245,0.362921,0.362921,0.0112091,0.0111972,0.36196,0.36196,0.362921,0.362921,0.326191,0.326191,0.35408,0.35408,0.362921,0.362921,0.35408,0.35408,0.34947,0.34947,0.359186,0.359186
236S,0.35328,0.35328,0.316113,0.316113,0.337263,0.337263,0.337833,0.337833,0.359186,0.359186,0.317216,0.317216,0.361017,0.361017,0.33191,0.33191,0.363903,0.363903,0.00217191,0.0021715,0.010399,0.0103863,0.350957,0.350957,0.358296,0.358296,0.362921,0.362921,0.36196,0.36196,0.310307,0.309987,5.354e-05,0.0,0.37026,0.37026,0.0135331,0.0135309,0.364905,0.364905,0.363903,0.363903,0.315036,0.315036,0.0127606,0.0127345,0.362921,0.362921,0.0112226,0.0112093,0.36196,0.36196,0.362921,0.362921,0.326191,0.326191,0.35408,0.35408,0.362921,0.362921,0.35408,0.35408,0.34947,0.34947,0.359186,0.359186
240R,0.0304319,0.0304339,0.174771,0.174844,0.177222,0.177222,0.179425,0.179465,0.0267805,0.0266569,0.173478,0.173424,0.0190757,0.0190728,0.181928,0.181928,0.0303753,0.0303529,0.371408,0.371408,0.368046,0.368046,0.151769,0.15168,0.0310949,0.0310919,0.0315375,0.0315308,0.0311837,0.0311907,0.174991,0.175082,0.37026,0.37026,0.0,8.654e-05,0.365929,0.365929,0.0308645,0.0308904,0.0293698,0.0293754,0.187163,0.187139,0.364905,0.364905,0.0276982,0.027703,0.368046,0.368046,0.0311917,0.0311806,0.0307847,0.0307882,0.185367,0.185344,0.0265698,0.0265826,0.0312239,0.0312128,0.026541,0.0265372,0.183352,0.183374,0.0311285,0.0311345
240S,0.0304119,0.0304104,0.174753,0.174844,0.17726,0.177241,0.179465,0.179505,0.0267711,0.0266509,0.17346,0.173424,0.0190574,0.0190559,0.181992,0.18197,0.0303572,0.0303324,0.371408,0.371408,0.368046,0.368046,0.151791,0.151702,0.0310794,0.0310754,0.0315197,0.0315181,0.0311681,0.0311671,0.174954,0.175064,0.37026,0.37026,8.654e-05,0.0,0.365929,0.365929,0.0308506,0.0308735,0.0293566,0.0293618,0.187116,0.187139,0.364905,0.364905,0.0276898,0.027696,0.368046,0.368046,0.0311676,0.0311611,0.0307679,0.0307778,0.185367,0.185367,0.0265605,0.0265681,0.0312078,0.0311952,0.0265313,0.0265266,0.183352,0.183396,0.0311074,0.0311199
246R,0.358296,0.358296,0.317965,0.317965,0.337833,0.337833,0.336143,0.336143,0.35328,0.35328,0.318345,0.318345,0.358296,0.358296,0.329926,0.329926,0.359186,0.359186,0.0137044,0.0137056,0.0135989,0.0135903,0.352493,0.352493,0.36196,0.36196,0.36196,0.36196,0.36196,0.36196,0.318727,0.318727,0.0135213,0.0135331,0.365929,0.365929,0.0,6.968e-05,0.362921,0.362921,0.359186,0.359186,0.311943,0.311943,0.00696279,0.00694058,0.356564,0.356564,0.0125285,0.0125177,0.36196,0.36196,0.36196,0.36196,0.321901,0.321901,0.359186,0.359186,0.362921,0.362921,0.359186,0.359186,0.347322,0.347322,0.36196,0.36196
246S,0.358296,0.358296,0.317965,0.317965,0.337833,0.337833,0.336143,0.336143,0.35328,0.35328,0.318345,0.318345,0.358296,0.358296,0.329926,0.329926,0.359186,0.359186,0.0137081,0.0137101,0.0135977,0.0135928,0.352493,0.352493,0.36196,0.36196,0.36196,0.36196,0.36196,0.36196,0.318727,0.318727,0.0135225,0.0135309,0.365929,0.365929,6.968e-05,0.0,0.362921,0.362921,0.359186,0.359186,0.311943,0.311943,0.00696831,0.00694448,0.356564,0.356564,0.0125327,0.0125233,0.36196,0.36196,0.36196,0.36196,0.321901,0.321901,0.359186,0.359186,0.362921,0.362921,0.359186,0.359186,0.347322,0.347322,0.36196,0.36196
